name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,height,weight,season_goals,season_assists
Stephane Dumont,法国,34,CM,68,68,52,58,70,62,64,68,13618293,LOSC Lille,法国甲级联赛,右,183,80,0,0
Kevin McKenna,德国,36,CM,68,68,32,61,55,43,64,68,5454471,1. FC Köln,德国甲级联赛,右,190,85,4,1
Nono,西班牙,23,CAM,68,76,68,64,72,73,53,57,9308759,Real Betis Balompié,西班牙甲级联赛,右,178,72,0,0
Richard Guzmics,波兰,29,CB,68,68,52,38,50,46,68,79,3916175,Wisła Kraków,波兰甲级联赛,右,190,88,0,0
Stephen Appiah,意大利,36,CM,68,75,71,68,71,65,65,68,4102902,Cesena,意大利甲级联赛,右,178,77,0,0
Danny Hoesen,荷兰,25,ST,68,71,78,66,54,71,27,68,33225304,FC Groningen,荷兰甲级联赛,右,185,81,1,0
Bruno Andrade,荷兰,27,ST,68,69,74,66,57,70,24,66,3426321,Willem II,荷兰甲级联赛,右,175,75,2,3
Federico Agliardi,意大利,33,GK,68,68,46,16,33,19,14,56,3679832,Bologna,意大利甲级联赛,左,190,86,0,0
Andrea Caracciolo,意大利,35,ST,68,68,55,57,46,62,22,75,2865005,Brescia,意大利甲级联赛,右,193,80,16,2
Dario Vujicevic,荷兰,26,CAM,68,69,60,64,67,74,59,65,11041990,Heracles Almelo,荷兰甲级联赛,右,180,74,0,0
Pape Abdou Paye,法国,26,FB,68,70,84,40,58,54,70,68,7136077,FC Lorient,法国甲级联赛,右,170,66,0,0
Odair Fortes,法国,29,W,68,68,90,58,53,79,29,62,7431091,Stade de Reims,法国甲级联赛,右,185,68,7,2
Patrick Ziegler,德国,26,FB,68,70,72,34,62,59,70,75,17837138,SC Paderborn 07,德国甲级联赛,右,188,79,0,0
Hans Sarpei,德国,40,CB,68,68,52,33,57,56,70,65,8606390,FC Schalke 04,德国甲级联赛,右,178,73,0,0
Marcin Kaminski,波兰,24,FB,68,73,76,58,64,62,68,75,18349560,Lech Poznań,波兰甲级联赛,左,193,80,0,0
Claude Dielna,法国,29,FB,68,68,78,60,53,48,66,75,5798400,AC Ajaccio,法国甲级联赛,左,183,86,0,1
Leroy George,荷兰,29,ST,68,68,84,66,59,70,26,70,9299904,N.E.C.,荷兰甲级联赛,左,175,76,0,0
Craig Conway,苏格兰,31,W,68,68,74,64,66,68,40,63,5740122,Dundee United,苏格兰超级联赛,右,175,67,0,0
Paolo Sammarco,意大利,33,CM,68,68,68,61,69,68,61,69,9388873,Sampdoria,意大利甲级联赛,右,183,75,4,1
Jonathan Sesma,西班牙,38,ST,68,78,66,67,65,72,27,64,3541685,Real Valladolid,西班牙甲级联赛,左,175,65,8,0
Alexandre Cuvillier,法国,30,W,68,68,72,61,68,69,35,66,4296688,US Boulogne Cote D'Opale,法国甲级联赛,左,183,72,1,0
Deniss Rakels,波兰,24,ST,68,74,76,67,53,72,22,80,8887798,Cracovia,波兰甲级联赛,右,178,73,0,0
Takafumi Akahoshi,波兰,30,CAM,68,68,64,59,70,67,39,53,8921032,Pogoń Szczecin,波兰甲级联赛,右,175,68,0,0
Marcello Trotta,意大利,24,ST,68,73,68,67,49,62,35,73,9475039,Sassuolo,意大利甲级联赛,左,188,85,0,0
Guillermo,西班牙,23,ST,68,74,77,63,50,71,24,63,6651916,Athletic Club de Bilbao,西班牙甲级联赛,右,180,74,1,0
Alex Menendez,西班牙,25,CM,68,74,76,69,64,70,63,75,5354783,Real Sporting de Gijón,西班牙甲级联赛,左,180,67,0,0
Alessio Cragno,意大利,22,GK,68,77,39,16,31,17,14,57,4861669,Cagliari,意大利甲级联赛,右,183,78,0,0
Magaye Gueye,英格兰,26,ST,68,73,74,71,66,69,33,67,7338833,Everton,英格兰超级联赛,左,178,73,1,3
Emmanuel Frimpong,英格兰,24,CM,68,74,72,62,70,70,65,66,10286818,Wolverhampton Wanderers,英格兰超级联赛,右,180,67,0,2
Inigo Perez,西班牙,28,CM,68,68,68,65,72,70,62,73,14026812,Athletic Club de Bilbao,西班牙甲级联赛,左,178,74,1,1
Gregory Leca,法国,36,CM,68,68,28,58,62,57,67,69,6710817,SM Caen,法国甲级联赛,左,183,84,1,0
Roy Contout,法国,31,W,68,68,82,62,61,73,30,58,4228122,AJ Auxerre,法国甲级联赛,右,175,75,10,2
Habib Beye,英格兰,39,FB,68,68,52,41,60,64,74,67,11170961,Newcastle United,英格兰超级联赛,右,183,79,1,1
Janio Bikel,荷兰,21,FB,68,75,76,46,65,66,66,74,14880354,N.E.C.,荷兰甲级联赛,右,175,63,0,0
Derrick Luckassen,荷兰,21,FB,68,75,74,58,52,58,70,73,13700669,AZ,荷兰甲级联赛,右,185,75,2,0
Queensy Menig,荷兰,21,W,68,77,84,64,61,74,19,56,7484563,PEC Zwolle,荷兰甲级联赛,右,175,69,0,0
Gianluca Gaudino,瑞士,20,CAM,68,81,60,41,76,74,45,51,11880373,FC St. Gallen,瑞士超级联赛,右,175,65,1,0
Joseph Gomez,英格兰,19,FB,68,80,80,31,52,65,68,69,10790785,Liverpool,英格兰超级联赛,右,185,77,0,0
Sergei Kornilenko,英格兰,33,ST,68,68,61,68,59,62,30,73,8238893,Blackpool,英格兰超级联赛,右,185,90,0,0
Chris Brunt,英格兰,32,CAM,68,68,62,77,77,76,66,65,9499799,West Bromwich Albion,英格兰超级联赛,左,188,85,22,28
Michael O'Halloran,苏格兰,25,W,68,72,90,68,54,72,32,68,5379655,St. Johnstone FC,苏格兰超级联赛,右,180,79,0,0
Andrea Mazzarani,意大利,27,ST,68,70,77,63,66,72,20,73,14791218,Novara,意大利甲级联赛,右,180,74,1,2
Gaetan Charbonnier,法国,28,CAM,68,69,30,72,67,75,28,54,11117486,Stade de Reims,法国甲级联赛,右,188,80,9,1
Joao Guilherme,葡萄牙,30,CM,68,73,46,64,59,59,67,70,9034790,CS Marítimo,葡萄牙超级联赛,右,183,74,0,0
Antonio Doblas,西班牙,36,GK,68,68,52,25,34,26,25,59,7606167,Real Zaragoza,西班牙甲级联赛,右,183,81,0,0
David Davis,苏格兰,25,FB,68,72,76,65,61,64,69,77,5102241,Inverness Caledonian Thistle,苏格兰超级联赛,右,178,82,0,0
Jacques Zoua Daogari,瑞士,25,ST,68,73,78,66,63,66,32,75,7743159,FC Basel,瑞士超级联赛,右,185,84,2,0
Patrick Mtiliga,西班牙,35,FB,68,68,72,57,63,62,70,67,5736752,Málaga CF,西班牙甲级联赛,左,170,72,0,0
Zsolt Low,德国,37,FB,68,73,72,50,64,66,65,60,4696447,1. FSV Mainz 05,德国甲级联赛,左,180,70,0,0
Tinoco,葡萄牙,30,CM,68,68,65,60,62,66,67,73,5637972,FC Arouca,葡萄牙超级联赛,左,185,75,0,0
Jan Lecjaks,瑞士,26,CM,68,72,68,57,69,66,66,68,13381396,BSC Young Boys,瑞士超级联赛,左,185,81,2,0
Christopher Noethe,德国,28,ST,68,68,72,66,50,64,30,72,6104163,SpVgg Greuther Fürth,德国甲级联赛,右,183,81,0,0
Carlos Pena,西班牙,33,FB,68,68,74,35,61,62,69,74,7082069,Real Valladolid,西班牙甲级联赛,左,180,76,2,1
Granddi Ngoyi,法国,28,FB,68,68,66,35,60,61,66,76,6435780,ES Troyes AC,法国甲级联赛,右,185,77,1,0
Kristian Bach Bak,荷兰,34,FB,68,68,70,48,55,53,66,79,13743351,SC Heerenveen,荷兰甲级联赛,右,185,83,0,0
Caca,葡萄牙,34,W,68,68,72,67,66,71,32,55,7768437,"União de Leiria, SAD",葡萄牙超级联赛,右,170,66,0,0
Christian Wetklo,德国,36,GK,68,68,32,33,31,28,25,50,9372139,1. FSV Mainz 05,德国甲级联赛,右,190,92,1,1
Erick Pulgar,意大利,22,CM,68,74,69,60,67,62,66,76,13445281,Bologna,意大利甲级联赛,右,185,70,0,0
Paolo Bianco,意大利,39,CB,68,68,43,35,37,38,72,57,3557750,Cagliari,意大利甲级联赛,右,183,77,1,0
Nery Castillo,西班牙,32,ST,68,68,72,70,60,72,25,63,7704392,Rayo Vallecano,西班牙甲级联赛,左,170,61,2,0
Dario Knezevic,意大利,34,FB,68,70,60,44,58,55,68,69,11066107,Livorno,意大利甲级联赛,右,183,80,0,0
Arni Gautur Arason,比利时,41,GK,68,74,56,20,36,20,14,65,9391914,KAA Gent,比利时甲级联赛,右,188,84,0,0
Jamie O'Hara,英格兰,30,CM,68,68,50,70,72,68,60,63,7485587,Wolverhampton Wanderers,英格兰超级联赛,左,178,82,9,10
Enzo Reale,法国,25,CAM,68,72,70,61,71,72,48,56,12861211,FC Lorient,法国甲级联赛,右,175,69,1,0
Fabian Vargas,西班牙,36,CM,68,68,62,64,72,72,65,66,13276678,UD Almería,西班牙甲级联赛,右,178,71,1,1
Ryan McGowan,苏格兰,27,FB,68,70,67,48,55,60,70,67,14227741,Heart of Midlothian,苏格兰超级联赛,右,190,78,0,0
Vincent Muratori,法国,29,CB,68,68,72,23,56,55,68,73,11795270,AS Monaco,法国甲级联赛,左,180,71,0,0
Carlos Bocanegra,法国,37,CB,68,68,46,38,55,52,66,65,3081129,Stade Rennais FC,法国甲级联赛,左,183,77,2,0
Joao Schimdt,葡萄牙,23,CM,68,77,62,68,71,68,62,71,11080545,Vitória Setúbal,葡萄牙超级联赛,左,183,82,0,0
Edson Sitta,葡萄牙,33,CM,68,70,69,73,68,64,68,69,2961883,Vitória Guimarães,葡萄牙超级联赛,右,180,77,0,0
Francisco Sandaza,苏格兰,32,ST,68,68,64,65,60,74,30,76,4610094,Dundee United,苏格兰超级联赛,右,188,83,0,0
Herold Goulon,法国,28,CM,68,69,54,53,64,66,66,66,6763434,Le Mans FC,法国甲级联赛,右,196,96,0,0
Mate Bilic,西班牙,36,ST,68,68,51,70,58,60,36,64,10938672,Real Sporting de Gijón,西班牙甲级联赛,右,185,81,22,3
Markus Berger,葡萄牙,31,CB,68,68,39,52,53,52,68,77,8572337,Académica de Coimbra,葡萄牙超级联赛,右,185,80,0,0
Florent Sinama-Pongolle,法国,32,ST,68,68,74,68,58,65,24,63,13238522,AS Saint-Étienne,法国甲级联赛,右,175,69,14,0
Rodrigo Defendi,葡萄牙,30,CB,68,68,45,30,51,48,68,64,7465256,Vitória Guimarães,葡萄牙超级联赛,左,190,83,0,0
Florian Jungwirth,德国,27,FB,68,68,66,31,63,63,69,77,3640177,SV Darmstadt 98,德国甲级联赛,右,180,77,0,0
Marco Schneuwly,瑞士,31,ST,68,68,66,67,59,60,38,74,9168921,FC Luzern,瑞士超级联赛,左,183,82,11,0
Mikel Labaka,西班牙,36,CB,68,68,42,44,54,50,66,67,4916092,Rayo Vallecano,西班牙甲级联赛,右,185,78,1,0
Collin Benjamin,德国,38,CM,68,68,68,61,67,71,66,73,7734041,Hamburger SV,德国甲级联赛,右,183,80,1,0
Bengali-Fode Koita,法国,26,ST,68,71,78,62,59,72,18,68,5911114,SM Caen,法国甲级联赛,右,185,86,0,0
Andre Lenz,德国,43,GK,68,68,35,18,28,16,14,58,3087569,VfL Wolfsburg,德国甲级联赛,右,190,93,1,0
Axel Bellinghausen,德国,33,FB,68,68,78,62,65,66,65,78,5812558,Fortuna Düsseldorf,德国甲级联赛,左,183,76,5,0
Charlie Davies,法国,30,ST,68,68,78,66,50,68,28,72,8238429,FC Sochaux-Montbéliard,法国甲级联赛,右,178,73,0,0
Immanuel Hoehn,德国,25,CB,68,71,56,32,53,53,70,71,11270381,SC Freiburg,德国甲级联赛,右,183,72,0,0
Hicham Faik,荷兰,23,CAM,68,74,64,72,70,72,52,67,4458752,Roda JC Kerkrade,荷兰甲级联赛,左,188,74,0,0
Wouter Weghorst,荷兰,24,ST,68,73,36,69,46,62,26,78,13731287,Heracles Almelo,荷兰甲级联赛,右,198,84,5,5
Brandley Kuwas,荷兰,24,W,68,74,79,68,61,72,21,60,4988382,Excelsior,荷兰甲级联赛,左,178,73,0,0
Claudio Morel,西班牙,38,FB,68,68,72,60,60,60,70,67,6304967,RC Deportivo de La Coruña,西班牙甲级联赛,左,175,74,0,0
Heinz Barmettler,瑞士,29,CB,68,71,53,31,55,41,69,70,7088084,FC Zürich,瑞士超级联赛,左,183,76,0,0
Alessandro Parisi,意大利,39,CM,68,68,59,67,65,64,68,70,8964797,Bari,意大利甲级联赛,左,183,75,3,1
Ali Al-Habsi,英格兰,35,GK,68,68,48,17,30,16,14,60,8206230,Wigan Athletic,英格兰超级联赛,右,193,79,1,1
Almeida Anderson do Oliveira,葡萄牙,36,CB,68,68,33,50,54,52,68,77,16575519,Vitória Setúbal,葡萄牙超级联赛,右,188,89,0,0
Sergio Rochet,荷兰,23,GK,68,73,48,18,32,22,17,54,7071665,AZ,荷兰甲级联赛,右,190,80,0,0
Yarouba Cissako,比利时,21,FB,68,78,86,35,62,72,65,69,11444446,SV Zulte-Waregem,比利时甲级联赛,右,178,70,0,0
Kevin Doyle,英格兰,33,ST,68,68,69,67,59,66,34,73,5299255,Wolverhampton Wanderers,英格兰超级联赛,右,183,81,20,12
Luis Carlos,葡萄牙,29,W,68,68,88,64,61,68,29,58,16796474,Gil Vicente FC,葡萄牙超级联赛,右,170,64,0,0
Juande,比利时,30,FB,68,68,66,43,67,61,65,72,11881842,KVC Westerlo,比利时甲级联赛,右,183,75,0,0
Nick Blackman,苏格兰,27,ST,68,70,81,72,59,72,32,64,9788813,Motherwell,苏格兰超级联赛,左,185,74,0,1
Victor Palsson,荷兰,25,CM,68,70,66,56,64,60,66,78,8753807,N.E.C.,荷兰甲级联赛,右,185,81,0,0
Boubacar Barry Copa,比利时,37,GK,68,68,48,22,38,30,15,51,8291458,Sporting Lokeren,比利时甲级联赛,右,180,69,0,0
Xavier Margairaz,瑞士,32,CAM,68,72,68,70,71,70,55,71,8125186,FC Zürich,瑞士超级联赛,左,185,81,0,0
Luca Ceccarelli,意大利,33,FB,68,68,72,51,55,62,68,69,5469740,Cesena,意大利甲级联赛,右,183,70,2,4
