name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,height,weight,season_goals,season_assists
Molla Wague,意大利,25,CB,73,76,60,35,45,44,74,75,19440402,Udinese,意大利甲级联赛,右,190,87,1,0
Jean-Daniel Akpa-Akpro,法国,24,CM,73,78,76,72,71,74,72,68,11954966,Toulouse FC,法国甲级联赛,右,180,71,2,0
Robert Ibanez,西班牙,23,W,73,80,78,67,73,74,46,53,19813701,Granada CF,西班牙甲级联赛,右,170,67,0,0
Milivoje Novakovic,德国,37,ST,73,73,70,71,60,72,22,65,11447527,1. FC Köln,德国甲级联赛,右,193,85,46,5
Adam Federici,英格兰,31,GK,73,73,48,16,39,23,18,62,15357377,Reading,英格兰超级联赛,右,188,90,0,0
Souleymane Diawara,法国,38,CB,73,73,59,46,60,50,71,71,16624098,Olympique de Marseille,法国甲级联赛,右,188,88,4,0
Killan Overmeire,比利时,31,CM,73,73,66,58,73,66,69,83,15717469,Sporting Lokeren,比利时甲级联赛,右,188,84,0,0
Amauri,意大利,36,ST,73,73,44,67,60,79,20,75,9909909,Juventus,意大利甲级联赛,右,185,83,45,4
Jean Beausejour,英格兰,32,FB,73,73,80,66,67,74,71,75,17871256,Wigan Athletic,英格兰超级联赛,左,178,83,3,13
Will Orban,德国,24,CB,73,79,62,33,53,57,73,76,10744255,1. FC Nürnberg,德国甲级联赛,右,185,82,0,0
Edgar Salli,瑞士,24,W,73,78,90,65,66,77,19,55,14701708,FC St. Gallen,瑞士超级联赛,右,163,64,5,0
Jean-Christophe Bahebeck,法国,23,ST,73,79,79,73,65,75,25,66,12479996,ES Troyes AC,法国甲级联赛,右,183,76,5,0
Jerome Roussillon,法国,23,FB,73,79,85,64,71,72,72,70,11012037,Montpellier Hérault SC,法国甲级联赛,左,175,80,1,0
David Bentley,英格兰,32,ST,73,73,64,69,73,74,25,59,9459266,Tottenham Hotspur,英格兰超级联赛,右,175,68,3,4
Elvis Manu,荷兰,23,ST,73,78,90,70,52,76,23,75,29912675,SC Cambuur,荷兰甲级联赛,右,173,70,5,1
Michael Essien,英格兰,34,CM,73,73,55,71,73,71,72,76,13757794,Chelsea,英格兰超级联赛,右,178,85,10,3
Andre Martins,葡萄牙,26,CAM,73,75,80,65,73,81,53,56,12434166,Sporting CP,葡萄牙超级联赛,右,170,62,0,0
Wilson Eduardo,葡萄牙,26,ST,73,75,79,77,64,76,26,67,13248058,S.C. Olhanense,葡萄牙超级联赛,右,178,76,2,1
Yacine Bammou,法国,25,ST,73,76,72,73,71,72,32,76,52388422,FC Nantes,法国甲级联赛,右,188,78,0,0
Mikel Oiarzabal,西班牙,19,W,73,85,72,71,70,76,32,61,24154579,Real Sociedad,西班牙甲级联赛,左,178,77,0,0
Olivier Deschacht,比利时,35,FB,73,73,58,53,61,54,77,70,39712354,RSC Anderlecht,比利时甲级联赛,左,188,81,0,0
Sone Aluko,苏格兰,27,W,73,74,88,71,68,76,35,61,29067019,Aberdeen,苏格兰超级联赛,左,173,75,3,3
Mauro,葡萄牙,26,FB,73,76,68,50,68,70,74,75,25168137,SC Braga,葡萄牙超级联赛,右,178,72,0,0
Moussa Konate,瑞士,23,ST,73,81,88,67,51,72,18,73,15538718,FC Sion,瑞士超级联赛,右,183,78,6,0
Neca,葡萄牙,37,CAM,73,73,65,70,74,75,44,64,17811928,Vitória Setúbal,葡萄牙超级联赛,右,178,71,0,0
Custodio,葡萄牙,33,CM,73,73,50,70,73,70,73,72,8043053,SC Braga,葡萄牙超级联赛,右,180,75,0,0
Goncalo Santos,葡萄牙,30,CM,73,76,64,57,69,64,73,82,22242458,Estoril Praia,葡萄牙超级联赛,右,183,79,0,0
Christian Pander,德国,33,CM,73,73,68,73,69,74,72,69,8172447,Hannover 96,德国甲级联赛,左,185,80,3,7
Alberto Rivera,西班牙,38,CAM,73,73,66,56,79,74,53,65,9941400,Real Sporting de Gijón,西班牙甲级联赛,右,168,66,1,4
Fabio,英格兰,26,FB,73,76,82,58,69,74,73,70,20777868,Queens Park Rangers,英格兰超级联赛,右,173,65,1,0
Pablo Orbaiz,西班牙,37,CM,73,73,56,66,81,67,65,60,7663734,Athletic Club de Bilbao,西班牙甲级联赛,右,178,75,3,2
Leon Balogun,德国,28,FB,73,74,72,53,57,61,74,74,18378103,1. FSV Mainz 05,德国甲级联赛,右,190,88,0,0
Alexander Esswein,德国,26,ST,73,74,90,75,64,74,28,75,16764796,1. FC Nürnberg,德国甲级联赛,右,183,85,6,1
Vadis Odjidja-Ofoe,比利时,27,CM,73,74,69,74,74,72,69,79,25897305,Club Brugge KV,比利时甲级联赛,右,185,91,0,0
Rudy Gestede,英格兰,28,ST,73,74,72,73,51,68,28,82,18936971,Aston Villa,英格兰超级联赛,右,193,86,0,0
Artem Kravets,德国,27,ST,73,74,72,72,62,66,37,69,24561335,VfB Stuttgart,德国甲级联赛,右,188,78,0,0
Onyekachi Apam,法国,30,CB,73,74,64,42,57,45,73,76,11765670,OGC Nice,法国甲级联赛,右,175,84,1,0
Drissa Diakite,法国,31,FB,73,73,76,44,63,62,73,72,19409969,OGC Nice,法国甲级联赛,右,175,69,0,0
Santiago Montoya,葡萄牙,25,W,73,79,84,68,69,80,37,50,18993339,Vitória Guimarães,葡萄牙超级联赛,左,173,63,0,0
Andrew Robertson,苏格兰,22,FB,73,81,81,60,64,72,71,67,36329959,Dundee United,苏格兰超级联赛,左,178,63,0,0
Sergi Gomez,西班牙,24,CM,73,79,53,42,69,62,73,67,28576311,RC Celta de Vigo,西班牙甲级联赛,右,185,77,0,0
Anderson,英格兰,28,CAM,73,73,76,65,78,78,66,61,23855135,Manchester United,英格兰超级联赛,左,175,69,5,6
Shaun Maloney,英格兰,33,W,73,73,68,68,72,76,36,64,19228765,Wigan Athletic,英格兰超级联赛,右,170,69,9,10
Mario Alvarez,西班牙,34,CB,73,73,66,48,56,50,76,74,11486673,Getafe CF,西班牙甲级联赛,左,178,75,1,0
Kelechi Iheanacho,英格兰,20,ST,73,87,87,71,63,73,16,66,15812490,Manchester City,英格兰超级联赛,左,188,77,0,0
Sabin Merino,西班牙,24,W,73,79,79,67,66,74,40,62,11238780,Athletic Club de Bilbao,西班牙甲级联赛,右,185,80,0,0
Javier Eraso,西班牙,26,CAM,73,75,68,71,75,70,60,73,12562643,Athletic Club de Bilbao,西班牙甲级联赛,右,180,71,0,0
Matias Nahuel Leiva,西班牙,20,W,73,85,74,64,70,80,22,60,10398993,Villarreal CF,西班牙甲级联赛,右,173,67,0,1
Nikica Jelavic,英格兰,31,ST,73,73,67,74,56,72,16,70,13750473,Everton,英格兰超级联赛,右,188,84,22,2
Godfred Donsah,意大利,20,CM,73,83,82,67,72,76,64,80,26335622,Bologna,意大利甲级联赛,右,175,70,0,0
Aritz Elustondo,西班牙,22,FB,72,80,71,34,46,58,73,68,12498708,Real Sociedad,西班牙甲级联赛,右,183,72,0,0
Amilton,葡萄牙,27,W,72,74,90,70,53,72,31,60,7012473,Uniao da Madeira,葡萄牙超级联赛,右,173,68,0,0
Amadou Diawara,意大利,19,FB,72,82,72,54,70,72,68,70,15049713,Bologna,意大利甲级联赛,右,183,75,0,0
Adrian Marin,西班牙,19,FB,72,82,75,47,61,70,74,66,20162290,Villarreal CF,西班牙甲级联赛,左,180,73,0,0
Sami Allagui,德国,30,ST,72,72,74,71,63,75,23,73,20230982,1. FSV Mainz 05,德国甲级联赛,右,183,77,23,2
Maximilian Philipp,德国,22,W,72,78,83,67,66,76,28,64,32462152,SC Freiburg,德国甲级联赛,右,183,77,0,0
Lionn,葡萄牙,27,FB,72,73,80,63,57,68,72,73,13318754,Rio Ave FC,葡萄牙超级联赛,右,183,77,0,0
Jose Moreira,葡萄牙,34,GK,72,78,51,22,32,22,14,64,12149254,SL Benfica,葡萄牙超级联赛,右,185,83,0,0
Laryea Kingston,苏格兰,36,CAM,72,76,72,69,72,73,50,65,9008990,Heart of Midlothian,苏格兰超级联赛,右,178,72,0,0
Pedro Botelho,西班牙,27,FB,72,74,76,65,62,72,69,77,13169926,Levante UD,西班牙甲级联赛,左,185,70,1,1
Yoric Ravet,瑞士,27,ST,72,74,84,76,66,70,36,67,18799383,Grasshopper Club Zürich,瑞士超级联赛,右,178,74,6,0
Adalberto Penaranda,西班牙,19,ST,72,84,82,74,57,74,20,63,36888944,Granada CF,西班牙甲级联赛,右,183,78,0,0
Ashley Cole,英格兰,36,FB,72,72,72,48,64,70,73,69,7472966,Chelsea,英格兰超级联赛,左,175,66,6,16
Stephan Andersen,法国,35,GK,72,72,54,17,44,16,16,60,14601726,Évian Thonon Gaillard FC,法国甲级联赛,右,188,82,0,0
Bryan Linssen,荷兰,26,ST,72,75,82,76,62,73,39,68,12211006,Heracles Almelo,荷兰甲级联赛,右,170,64,7,8
Joel Chukwuma Obi,意大利,25,FB,72,76,83,67,73,75,71,72,27815027,Inter,意大利甲级联赛,左,175,71,1,0
Mohammed Abdellaoue,德国,31,ST,72,72,71,71,62,71,33,69,19372518,Hannover 96,德国甲级联赛,左,183,80,30,2
Torsten Frings,德国,40,CM,72,72,34,69,72,66,73,72,17001448,SV Werder Bremen,德国甲级联赛,右,183,80,19,0
Fausto Rossi,西班牙,26,CM,72,76,69,60,77,70,68,61,20725137,Real Valladolid,西班牙甲级联赛,右,175,67,1,0
Mehdi Mostefa,法国,33,CM,72,72,52,55,69,66,66,80,11988946,AC Ajaccio,法国甲级联赛,右,180,82,5,2
Massadio Haidara,法国,24,FB,72,79,76,55,59,72,74,72,26569556,AS Nancy-Lorraine,法国甲级联赛,左,180,75,1,0
Juan Camilo Zuniga,意大利,31,FB,72,72,87,68,68,79,70,68,10682013,Napoli,意大利甲级联赛,右,173,72,4,1
Gato Silva,西班牙,30,CM,72,72,56,67,76,63,69,75,19856790,CA Osasuna,西班牙甲级联赛,右,178,75,1,1
Gonzalo Jara,英格兰,31,FB,72,72,68,50,69,63,72,73,8499189,West Bromwich Albion,英格兰超级联赛,右,178,78,1,2
Glenn Murray,英格兰,33,ST,72,72,57,73,63,66,30,74,15155955,Crystal Palace,英格兰超级联赛,右,185,84,1,1
Simon Francis,英格兰,31,FB,72,72,72,50,64,71,72,69,25698400,Bournemouth,英格兰超级联赛,右,190,89,0,0
Quincy Owusu-Abeyie,西班牙,30,W,72,72,89,67,59,78,24,70,18818776,Málaga CF,西班牙甲级联赛,右,180,75,2,2
Alex Martinez,西班牙,26,FB,72,76,78,64,62,69,71,66,21458038,Real Betis Balompié,西班牙甲级联赛,左,175,64,0,0
Lars Veldwijk,荷兰,25,ST,72,76,67,74,50,62,20,77,13840005,PEC Zwolle,荷兰甲级联赛,右,198,95,0,0
Tony Hibbert,英格兰,35,CB,72,72,54,20,56,41,81,74,24901171,Everton,英格兰超级联赛,右,173,71,2,6
Kenneth Omeruo,荷兰,23,FB,72,81,74,36,47,59,72,77,16042016,ADO Den Haag,荷兰甲级联赛,右,185,83,0,0
Ayanda Patosi,比利时,24,W,72,76,74,67,72,76,22,50,7621376,Sporting Lokeren,比利时甲级联赛,右,175,67,0,0
Chris Loewe,德国,27,FB,72,73,86,63,65,70,70,71,16889996,Borussia Dortmund,德国甲级联赛,左,173,63,0,0
Fernando Canesin Matos,比利时,24,W,72,76,82,61,68,77,30,64,11762073,KV Oostende,比利时甲级联赛,右,175,68,0,0
Alex Pearce,英格兰,28,GK,72,72,44,30,47,44,73,76,14171007,Reading,英格兰超级联赛,右,188,85,0,1
Danny Simpson,英格兰,29,FB,72,72,74,39,61,64,75,76,15250573,Newcastle United,英格兰超级联赛,右,178,77,0,0
Armand Traore,英格兰,27,FB,72,73,86,52,64,72,67,73,15117464,Queens Park Rangers,英格兰超级联赛,左,183,82,1,4
Nicola Rigoni,意大利,26,CM,72,76,63,59,74,71,66,70,8073462,Chievo Verona,意大利甲级联赛,右,188,84,0,0
Liassine Cadamuro,西班牙,28,FB,72,73,68,40,62,63,72,74,13507711,Real Sociedad,西班牙甲级联赛,右,188,81,0,0
Damian Escudero,西班牙,29,W,72,72,73,66,71,74,42,67,25888143,Real Valladolid,西班牙甲级联赛,左,175,74,1,0
Egidio Arevalo,意大利,34,FB,72,72,66,56,63,63,75,77,7551143,Palermo,意大利甲级联赛,右,168,73,2,0
John Jairo Culma,法国,35,CM,72,72,64,50,70,64,72,74,21211430,Stade Brestois 29,法国甲级联赛,右,180,78,0,0
Geremi,英格兰,38,CM,72,79,70,70,73,71,70,75,5216379,Newcastle United,英格兰超级联赛,右,175,83,0,3
Goncalo Brandao,葡萄牙,30,FB,72,72,67,47,52,56,74,65,11800628,CF Os Belenenses,葡萄牙超级联赛,左,188,79,0,0
Jon Flanagan,英格兰,23,FB,72,80,72,37,59,70,75,70,4640245,Liverpool,英格兰超级联赛,右,180,69,1,1
Du-Ri Cha,苏格兰,36,FB,72,72,86,59,65,64,72,75,11758372,Celtic,苏格兰超级联赛,右,180,79,2,0
Manu Lanzarote,西班牙,32,ST,72,72,67,73,73,74,29,60,13541077,RCD Espanyol,西班牙甲级联赛,左,178,69,1,1
Jonathan Zongo,西班牙,24,ST,72,73,91,67,62,72,35,79,12958624,UD Almería,西班牙甲级联赛,右,183,72,1,1
Guido Marcelo Carrillo,法国,25,ST,72,76,65,73,58,70,30,74,15169943,AS Monaco,法国甲级联赛,右,188,89,0,0
David Stockdale,英格兰,31,GK,72,72,34,16,32,18,15,46,18787629,Fulham,英格兰超级联赛,右,190,84,1,0
Javier Espinosa Gonzalez,西班牙,24,CAM,72,78,69,65,75,82,54,55,13264589,UD Almería,西班牙甲级联赛,右,175,70,0,0
Suk-Young Yun,英格兰,26,FB,72,72,82,61,65,70,70,74,11897082,Queens Park Rangers,英格兰超级联赛,左,183,74,0,0
Boaz Myhill,英格兰,34,GK,72,72,44,17,37,25,16,55,11303827,West Bromwich Albion,英格兰超级联赛,右,190,92,0,0
Emiliano Sala,法国,26,ST,72,75,62,71,55,72,24,73,17732041,FC Nantes,法国甲级联赛,右,188,75,0,0
Mbaye Leye,比利时,34,ST,72,72,66,71,66,70,33,73,12079424,SV Zulte-Waregem,比利时甲级联赛,右,183,75,0,0
Jacopo Sala,意大利,25,CM,72,78,77,66,72,73,70,74,19346597,Hellas Verona,意大利甲级联赛,右,183,75,2,3
Juan Sanchez Mino,意大利,26,CAM,72,74,78,73,73,72,49,69,13157771,Torino,意大利甲级联赛,左,178,78,0,0
Ramon Cardozo,葡萄牙,30,ST,72,72,54,72,54,66,19,68,9033913,Vitória Setúbal,葡萄牙超级联赛,右,190,83,0,0
Etienne Reijnen,荷兰,29,CB,72,72,54,31,66,59,72,77,10593433,AZ,荷兰甲级联赛,右,190,85,0,1
Djaniny,葡萄牙,25,ST,72,74,82,68,64,76,29,74,18759600,CD Nacional,葡萄牙超级联赛,右,188,85,0,0
Alexis Rolin,意大利,27,CB,72,73,61,35,43,50,76,67,9146091,Catania,意大利甲级联赛,右,185,76,0,0
Clint Hill,英格兰,38,GK,72,72,29,31,46,47,73,67,12293271,Queens Park Rangers,英格兰超级联赛,左,183,73,1,2
Christian Lell,德国,32,FB,72,72,80,62,64,67,71,77,13623555,Hertha BSC Berlin,德国甲级联赛,右,183,80,3,1
Jonathan Howson,英格兰,28,CAM,72,72,68,73,75,72,60,70,56857100,Norwich City,英格兰超级联赛,右,180,77,5,1
Rudolf Skacel,苏格兰,37,CAM,72,72,78,70,71,71,55,74,16383771,Heart of Midlothian,苏格兰超级联赛,左,178,77,0,0
John Arne Riise,意大利,36,CM,72,72,58,72,73,68,78,73,9815459,Roma,意大利甲级联赛,左,188,82,7,11
Boudewijn Zenden,英格兰,40,CAM,72,75,68,74,74,75,50,64,10747667,Sunderland,英格兰超级联赛,左,175,70,4,3
Asier del Horno,西班牙,35,CM,72,72,68,63,69,69,72,71,26544218,Levante UD,西班牙甲级联赛,左,183,70,2,0
Ruben Schaken,荷兰,34,W,72,72,78,66,62,73,33,66,14479284,Feyenoord,荷兰甲级联赛,右,173,74,2,1
George Friend,英格兰,29,FB,72,72,74,56,60,72,73,80,12231720,Manchester United,英格兰超级联赛,左,188,83,0,0
Francisco Chica,西班牙,31,FB,72,72,75,57,62,60,72,82,10466286,RCD Espanyol,西班牙甲级联赛,右,175,77,2,2
Ritchie De Laet,英格兰,28,FB,72,72,86,47,59,68,70,74,12018904,Leicester City,英格兰超级联赛,右,185,77,1,0
Abdoul Karim Yoda,瑞士,28,W,72,73,86,65,65,74,44,72,14403049,FC Sion,瑞士超级联赛,左,183,73,0,0
Nene,意大利,33,ST,72,72,66,69,57,71,22,75,8690438,Cagliari,意大利甲级联赛,右,183,78,22,1
Titus Bramble,英格兰,35,CB,72,72,66,44,56,38,73,76,12403481,Wigan Athletic,英格兰超级联赛,右,185,86,6,0
Felix Klaus,德国,24,W,72,75,85,66,64,74,32,70,17736871,SC Freiburg,德国甲级联赛,右,178,79,7,3
Sacha Kljestan,比利时,31,CM,72,72,64,69,73,73,62,75,18606680,RSC Anderlecht,比利时甲级联赛,右,185,68,0,0
Artur Jedrzejczyk,波兰,29,FB,72,72,69,53,57,66,74,79,12685665,Legia Warszawa,波兰甲级联赛,右,188,82,0,0
Rafael Bracalli,葡萄牙,35,GK,72,72,40,15,40,22,16,60,10781960,CD Nacional,葡萄牙超级联赛,右,185,78,0,0
Jan Rajnoch,德国,35,CM,72,74,68,64,67,66,71,74,6124565,FC Energie Cottbus,德国甲级联赛,右,185,76,0,0
Richard Stearman,英格兰,29,CB,72,72,58,42,50,51,73,71,10367957,Wolverhampton Wanderers,英格兰超级联赛,右,190,76,3,0
Cristian Portu,西班牙,24,CAM,72,78,70,66,76,70,57,73,9390808,Rayo Vallecano,西班牙甲级联赛,右,178,70,0,0
Alejandro Pozuelo,比利时,25,CAM,72,75,76,61,74,76,55,66,11773766,KRC Genk,比利时甲级联赛,右,170,63,4,2
Karim Rekik,荷兰,22,FB,72,77,66,41,62,60,70,73,24468830,PSV,荷兰甲级联赛,左,185,78,1,0
Diego Biseswar,荷兰,28,ST,72,72,84,72,61,76,25,70,24173331,Feyenoord,荷兰甲级联赛,右,170,73,0,2
Rubinho,意大利,34,GK,72,72,46,17,33,19,12,56,16968821,Genoa,意大利甲级联赛,右,183,90,0,0
Michael Keane,英格兰,23,CB,72,79,68,39,61,62,75,79,15779095,Burnley,英格兰超级联赛,右,188,82,0,0
Paulo Cesar,葡萄牙,36,ST,72,72,79,70,64,74,36,67,16826668,SC Braga,葡萄牙超级联赛,右,175,73,0,0
Daniele Conti,意大利,37,CM,72,72,52,66,80,66,66,55,7490030,Cagliari,意大利甲级联赛,右,178,71,26,3
Stuart Holden,英格兰,31,CM,72,74,74,65,78,73,68,69,13742357,Bolton Wanderers,英格兰超级联赛,右,178,73,3,2
Sergio Pellissier,意大利,37,ST,72,72,59,78,60,74,25,58,12411557,Chievo Verona,意大利甲级联赛,右,175,76,50,2
Carl Jenkinson,英格兰,24,FB,72,75,76,51,65,68,73,73,10852212,West Ham United,英格兰超级联赛,右,185,77,1,3
Anaitz Arbilla,西班牙,29,FB,72,72,70,60,61,66,72,78,19473588,Rayo Vallecano,西班牙甲级联赛,右,178,75,1,0
Davide Brivio,意大利,28,FB,72,72,68,67,53,57,76,77,19916020,Atalanta,意大利甲级联赛,左,185,82,5,1
Kalu Uche,西班牙,34,ST,72,72,78,70,59,70,31,78,10457672,UD Almería,西班牙甲级联赛,右,178,79,30,2
Somalia,法国,28,FB,72,73,80,70,67,68,70,68,5912315,Toulouse FC,法国甲级联赛,右,180,75,0,0
Nir Bitton,苏格兰,25,CM,72,78,63,56,71,68,72,69,27806526,Celtic,苏格兰超级联赛,右,193,82,0,0
Norbert Gyomber,意大利,24,CB,72,77,59,23,43,49,75,62,13515186,Catania,意大利甲级联赛,右,188,74,1,0
Paul Nardi,法国,22,GK,72,82,48,13,36,18,14,45,17806627,AS Monaco,法国甲级联赛,右,188,77,0,0
Bolatti,意大利,31,CM,72,72,59,70,73,70,71,73,36311803,Fiorentina,意大利甲级联赛,右,190,81,0,0
Alexander Gerndt,瑞士,30,ST,72,72,76,74,66,72,33,71,39785751,BSC Young Boys,瑞士超级联赛,左,185,80,9,0
Iiass Bel Hassani,荷兰,24,CAM,72,76,66,67,72,78,39,57,28169016,Heracles Almelo,荷兰甲级联赛,左,173,72,2,3
Alex Fernandez,西班牙,24,CAM,72,77,55,60,77,70,54,62,12646194,RCD Espanyol,西班牙甲级联赛,右,180,68,0,0
Miroslav Radovic,波兰,32,W,72,72,76,63,72,78,38,69,6861432,Legia Warszawa,波兰甲级联赛,右,183,76,0,1
Alexander Madlung,德国,34,GK,72,72,28,56,53,40,69,66,11019813,VfL Wolfsburg,德国甲级联赛,右,193,92,10,0
Arnold Bruggink,德国,39,ST,72,75,57,75,74,68,25,66,8520002,Hannover 96,德国甲级联赛,右,185,80,9,2
Fabio Grosso,意大利,39,CM,72,72,42,70,71,72,76,57,10544025,Juventus,意大利甲级联赛,左,190,82,2,2
Stefan Johansen,苏格兰,25,CAM,72,76,70,65,75,72,58,68,4674956,Celtic,苏格兰超级联赛,左,183,76,0,0
Anders Konradsen,法国,26,CM,72,76,68,69,72,70,70,80,29826445,Stade Rennais FC,法国甲级联赛,右,183,76,1,0
Manuel Pasqual,意大利,34,CM,72,72,75,60,75,72,73,71,12828314,Fiorentina,意大利甲级联赛,左,178,71,4,3
Rafael Martinho,意大利,28,W,72,72,89,67,68,74,57,66,9519149,Cesena,意大利甲级联赛,左,183,73,2,0
Nicola Leali,意大利,23,GK,72,80,32,18,20,18,17,54,9766646,Frosinone,意大利甲级联赛,右,188,78,0,0
Mike Te Wierik,荷兰,24,FB,72,77,66,52,66,60,73,72,15080382,Heracles Almelo,荷兰甲级联赛,右,190,73,0,0
Mitchell Weiser,德国,22,FB,72,82,82,56,70,80,68,60,31883234,Hertha BSC Berlin,德国甲级联赛,右,175,67,0,0
Scott Carson,英格兰,31,GK,72,72,46,20,32,18,19,58,23963665,West Bromwich Albion,英格兰超级联赛,右,188,88,3,0
Stephane Dalmat,法国,37,CAM,72,72,66,73,77,72,44,62,15688182,FC Sochaux-Montbéliard,法国甲级联赛,右,180,76,1,0
Domingo Cisma,西班牙,34,FB,72,72,71,58,68,68,72,72,14159835,Racing Santander,西班牙甲级联赛,左,183,78,6,1
Marco Caneira,葡萄牙,37,FB,72,75,72,57,68,64,72,76,22200628,Sporting CP,葡萄牙超级联赛,右,178,75,0,0
Adam Pinter,西班牙,28,CM,72,72,46,48,65,56,69,71,21006067,Real Zaragoza,西班牙甲级联赛,右,190,84,0,0
Tim Matavz,荷兰,27,ST,72,73,66,69,48,68,32,67,16761181,FC Groningen,荷兰甲级联赛,右,188,81,1,0
Maya Yoshida,英格兰,28,CB,72,72,66,42,55,60,73,78,6914075,Southampton,英格兰超级联赛,右,188,78,1,0
Bradley Johnson,英格兰,29,CM,72,72,68,80,72,71,66,80,8346850,Norwich City,英格兰超级联赛,左,178,68,7,8
Hamdi Harbaoui,比利时,31,ST,72,72,66,69,62,71,27,80,7770560,Sporting Lokeren,比利时甲级联赛,右,185,81,0,0
Roberto Vitiello,意大利,33,FB,72,72,66,48,52,54,76,57,14305152,Siena,意大利甲级联赛,右,175,70,1,0
Phil Bardsley,英格兰,31,FB,72,72,67,65,51,64,74,76,7565075,Sunderland,英格兰超级联赛,右,180,74,10,2
Elkin Soto,德国,36,CM,72,72,36,63,76,76,74,50,9528136,1. FSV Mainz 05,德国甲级联赛,左,178,75,8,2
Fabrizio Cacciatore,意大利,30,FB,72,72,77,57,56,60,74,77,14540616,Hellas Verona,意大利甲级联赛,右,183,85,4,1
Koffi Djidji,法国,24,FB,72,78,70,27,48,57,74,64,9159874,FC Nantes,法国甲级联赛,右,183,71,2,0
Antonio Di Gaudio,意大利,27,W,72,74,92,65,63,76,23,56,12975942,Carpi,意大利甲级联赛,右,170,63,0,0
Nico Schulz,德国,23,FB,72,78,87,49,67,74,70,70,25830611,Hertha BSC Berlin,德国甲级联赛,左,180,78,0,0
Giorgos Tzavellas,德国,29,FB,72,72,68,66,60,64,75,72,15986640,Eintracht Frankfurt,德国甲级联赛,左,183,81,1,2
Mathias Joergensen,荷兰,26,FB,72,74,68,42,66,53,70,74,16810672,PSV,荷兰甲级联赛,右,190,79,0,0
Eren Derdiyok,德国,28,ST,72,72,51,74,68,68,22,69,23404901,Bayer 04 Leverkusen,德国甲级联赛,右,190,92,26,8
Ryan Taylor,英格兰,32,CM,72,72,60,71,70,70,73,68,11419178,Newcastle United,英格兰超级联赛,右,178,81,4,7
Lazaros Christodoulopoulos,意大利,30,CAM,72,72,77,76,72,78,53,71,8727760,Bologna,意大利甲级联赛,右,183,77,3,1
Lars Unnerstall,德国,26,GK,72,74,35,13,31,18,16,59,9590766,FC Schalke 04,德国甲级联赛,右,198,100,0,0
Carlos Cuellar,英格兰,35,CB,72,72,46,35,48,48,73,64,9141126,Aston Villa,英格兰超级联赛,右,190,84,5,6
Evangelos Mantzios,葡萄牙,33,ST,72,74,74,71,61,72,16,73,13203017,CS Marítimo,葡萄牙超级联赛,右,190,81,0,0
Alexandros Tziolis,西班牙,31,CM,72,72,54,72,72,62,70,71,13307158,Racing Santander,西班牙甲级联赛,右,188,84,1,0
Loukas Vyntra,西班牙,35,FB,72,72,64,59,58,56,72,74,33503871,Levante UD,西班牙甲级联赛,右,183,76,2,0
Nasief Morris,西班牙,35,FB,72,78,74,56,56,62,72,73,9228710,RC Recreativo,西班牙甲级联赛,右,175,74,3,0
Mikael Antonsson,意大利,35,CB,72,72,50,39,49,48,72,72,12268258,Bologna,意大利甲级联赛,右,188,80,0,0
Oscar Hiljemark,意大利,24,CM,72,77,73,66,73,72,64,78,13054567,Palermo,意大利甲级联赛,右,183,75,0,1
Andres Palop,西班牙,43,GK,72,72,46,24,24,23,24,53,32669197,Sevilla FC,西班牙甲级联赛,右,183,75,0,0
Javier Garrido,英格兰,31,CM,72,72,65,62,66,68,74,67,7187017,Norwich City,英格兰超级联赛,左,178,76,2,4
Edu Albacar,西班牙,37,CM,72,72,74,69,67,65,74,71,6402361,Elche CF,西班牙甲级联赛,左,178,71,3,0
Roberto Canella,西班牙,28,FB,72,72,77,53,63,67,70,74,22738177,Real Sporting de Gijón,西班牙甲级联赛,左,180,73,3,0
Dealbert,西班牙,33,CB,72,72,48,45,49,46,73,74,18611837,Valencia CF,西班牙甲级联赛,右,185,80,0,0
Nicholas Sebastian Frey,意大利,32,FB,72,72,69,45,52,58,79,75,8683441,Chievo Verona,意大利甲级联赛,右,183,78,0,2
Valerio Di Cesare,意大利,33,CB,72,72,52,53,34,57,73,73,17189162,Torino,意大利甲级联赛,右,188,75,0,0
Ismael Traore,法国,30,CB,72,72,63,37,59,50,72,76,18176499,Angers SCO,法国甲级联赛,右,183,89,0,0
Bebe,西班牙,26,ST,72,75,84,74,62,78,22,75,13704031,Rayo Vallecano,西班牙甲级联赛,右,190,83,0,0
Renato Ibarra,荷兰,25,W,72,75,86,65,65,76,48,72,18114410,Vitesse,荷兰甲级联赛,右,170,70,2,2
Pierre Webo,西班牙,34,ST,72,72,64,73,58,72,26,70,13139702,RCD Mallorca,西班牙甲级联赛,右,180,81,23,2
Jean Makoun,法国,33,CM,72,72,65,57,77,70,68,75,7693732,Olympique Lyonnais,法国甲级联赛,右,173,65,3,1
Dominik Kohr,德国,22,CM,72,77,66,60,72,72,70,73,7280398,FC Augsburg,德国甲级联赛,右,183,75,0,0
Diego Galo,葡萄牙,32,CB,72,72,54,31,41,44,74,76,11178701,FC Arouca,葡萄牙超级联赛,右,185,79,0,0
Javier Manquillo,法国,22,FB,72,82,81,45,56,72,71,70,18878920,Olympique de Marseille,法国甲级联赛,右,180,72,0,0
